Periode,ID client,Nombre de retraits effectues par carte,Nombre d'operations carte,Nombre d'operations Hors carte,Total mouvement d'affaires,Encours crdit immo,Encours Crdit consommation amortisable,Encours Crdit consommation renouvelable,Encours Compte Epargne,Encours Compte Epargne terme,montant encours AV,Offre attribuée
AOUT,01-46-8C-4C,0,0.0,0.0,19000,0,0,0,0.0,0,0,Credit
AOUT,01-53-50-48,3,6.0,8.0,12332,0,0,0,0.0,0,0,Credit
AOUT,01-8E-91-FE,4,73.0,60.0,9000,0,0,0,0.0,0,0,Credit
AOUT,01-98-87-67,6,255.0,266.0,6145,15,0,0,0.0,106,932,Nouvelle Epargne écologique
AOUT,01-9C-7C-23,0,247.0,65.0,14699,85,0,0,0.0,0,0,Credit
AOUT,01-BB-A6-37,0,739.0,300.0,27872,28,0,7 952,82.0,0,11,Nouvelle Epargne écologique
AOUT,01-BF-79-6B,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,01-D2-6D-A7,0,0.0,2.0,20,0,0,0,789.0,3795,0,Nouvelle Carte (Etudiants)
AOUT,01-D9-D3-58,3,87.0,25.0,150,0,0,0,,14,0,Nouvelle Carte (Etudiants)
AOUT,01-E2-09-B9,4,77.0,40.0,3663,22,0,0,0.0,12 127,50,Nouvelle Carte (Etudiants)
AOUT,01-E6-E7-D1,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,01-E8-B7-0A,4,253.0,72.0,14345,94,0,0,0.0,23 996,83,Credit
AOUT,02-01-3B-0D,0,127.0,690.0,42794,40,58 681,0,0.0,0,7 370,Nouvelle Epargne écologique
AOUT,02-11-D5-BC,0,0.0,16.0,3624,32,55 694,39,0.0,0,414,Nouvelle Carte (Etudiants)
AOUT,02-12-D2-06,0,,252.0,43961,13,0,0,0.0,41 488,32,Nouvelle Epargne écologique
AOUT,02-1A-E4-C1,11,217.0,144.0,15138,0,0,0,0.0,0,0,Credit
AOUT,02-33-08-C0,9,313.0,126.0,8756,22,0,0,0.0,105,0,Credit
AOUT,02-3B-C9-6C,0,0.0,21.0,4391,52,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,02-5C-CC-92,3,421.0,252.0,44325,90,0,0,0.0,86 982,51,Nouvelle Epargne écologique
AOUT,02-60-62-73,0,227.0,154.0,10235,55,109 886,16,0.0,0,3 468,Credit
AOUT,02-67-F3-36,4,63.0,48.0,9462,48,0,0,0.0,0,0,Credit
AOUT,02-72-06-DF,0,0.0,2.0,20,0,0,0,22.0,71,0,Nouvelle Carte (Etudiants)
AOUT,02-97-96-B2,0,49.0,24.0,0,0,19 275,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,02-A1-F1-AD,0,0.0,4.0,30,0,0,0,0.0,0,3 507,Nouvelle Carte (Etudiants)
AOUT,02-A2-30-15,4,0.0,380.0,57825,0,166 703,94,0.0,0,30 026,Nouvelle Epargne écologique
AOUT,02-A4-59-C8,5,295.0,184.0,11242,16,0,0,0.0,10,5,Credit
AOUT,02-A5-71-59,3,359.0,88.0,7779,76,0,0,0.0,0,0,Credit
AOUT,02-B1-A9-4A,0,0.0,0.0,0,0,0,0,997.0,5,0,Nouvelle Carte (Etudiants)
AOUT,02-B2-25-E0,0,25.0,6.0,1301,20,0,0,0.0,4 201,59,Nouvelle Carte (Etudiants)
AOUT,02-BD-47-11,0,0.0,0.0,0,0,0,0,10.0,584,0,Nouvelle Carte (Etudiants)
AOUT,02-D9-B8-7F,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,02-DF-4C-93,0,147.0,70.0,3507,0,0,24 992,45.0,0,0,Credit
AOUT,02-DF-C5-7B,6,719.0,426.0,59188,86,124 672,51,0.0,0,1 391,Nouvelle Epargne écologique
AOUT,02-E5-AF-B2,0,343.0,152.0,16645,4,0,0,0.0,72,429,Credit
AOUT,02-F3-FF-25,5,337.0,170.0,1000,10,0,2 237,4.0,0,10,Credit
AOUT,02-F5-C1-C1,6,402.0,115.0,7034,80,0,0,0.0,21 735,23,Credit
AOUT,03-0F-DE-73,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,03-19-55-73,0,0.0,2.0,15,0,0,0,310.0,485,0,Nouvelle Carte (Etudiants)
AOUT,03-19-7D-49,0,0.0,10.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,03-2E-4C-06,0,0.0,322.0,45853,36,203 120,48,0.0,0,1 417,Nouvelle Epargne écologique
AOUT,03-57-50-56,0,0.0,3.0,0,0,0,0,0.0,0,522 856,Nouvelle Carte (Etudiants)
AOUT,03-60-5A-C4,0,157.0,74.0,8068,5,216 069,64,0.0,0,9 882,Credit
AOUT,03-8A-04-A8,0,0.0,0.0,0,0,0,0,409.0,563,0,Nouvelle Carte (Etudiants)
AOUT,03-9C-F1-AB,0,0.0,3.0,640,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,03-A0-DE-B4,3,79.0,96.0,2510,88,0,18 775,0.0,0,4 172,Nouvelle Carte (Etudiants)
AOUT,03-B3-87-5A,0,8.0,72.0,0,0,0,0,,80,0,Nouvelle Carte (Etudiants)
AOUT,03-E3-A2-68,0,235.0,246.0,21427,44,0,0,0.0,2 276,18,Nouvelle Epargne écologique
AOUT,03-F6-A0-5B,0,139.0,48.0,6299,64,0,0,0.0,5 184,92,Credit
AOUT,04-14-2A-E8,0,0.0,60.0,13874,20,0,0,0.0,0,0,Credit
AOUT,04-18-86-B8,0,0.0,24.0,16860,0,281 847,66,0.0,0,0,Credit
AOUT,04-1F-0D-BB,3,162.0,50.0,16235,75,0,0,0.0,0,0,Credit
AOUT,04-29-50-5B,0,0.0,9.0,135,0,0,0,,97,0,Nouvelle Carte (Etudiants)
AOUT,04-44-0C-03,0,0.0,110.0,8681,40,79 715,3,0.0,0,0,Credit
AOUT,04-44-B6-B2,0,0.0,35.0,198331,0,0,70 275,0.0,0,0,Credit
AOUT,04-4D-77-B8,0,0.0,0.0,0,0,0,0,650.0,6745,0,Nouvelle Carte (Etudiants)
AOUT,04-50-FD-B6,0,51.0,4.0,0,0,0,0,,42,0,Nouvelle Carte (Etudiants)
AOUT,04-78-31-0B,4,767.0,270.0,25789,12,0,7 097,6.0,0,14 851,Nouvelle Epargne écologique
AOUT,04-87-D4-11,3,357.0,203.0,23757,79,0,0,0.0,6,2475,Nouvelle Epargne écologique
AOUT,04-8A-64-8E,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,04-B2-98-66,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,04-BF-A1-2F,0,0.0,20.0,150000,0,0,30 275,0.0,0,0,Credit
AOUT,04-D2-CC-82,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,04-F2-2F-06,3,307.0,126.0,23991,12,324 071,18,0.0,0,46 899,Credit
AOUT,04-F4-FE-F4,0,0.0,40.0,16182,75,105 227,15,0.0,0,0,Credit
AOUT,04-FB-32-F0,0,0.0,0.0,0,0,0,0,665.0,7,0,Nouvelle Carte (Etudiants)
AOUT,05-19-14-30,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,05-1A-3E-75,0,212.0,110.0,9138,10,0,0,0.0,0,0,Credit
AOUT,05-1E-F7-C9,0,527.0,322.0,54999,22,346 885,30,0.0,0,0,Nouvelle Epargne écologique
AOUT,05-25-42-F9,4,119.0,46.0,10926,48,250 915,34,0.0,0,0,Credit
AOUT,05-2B-1A-0D,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,05-2B-CF-A2,0,199.0,132.0,32881,38,0,0,0.0,19 956,28,Credit
AOUT,05-36-BE-7E,0,0.0,36.0,7494,60,124 748,59,0.0,0,0,Credit
AOUT,05-40-F5-55,0,175.0,91.0,13094,69,0,0,0.0,0,0,Credit
AOUT,05-42-5A-1D,0,168.0,187.0,25811,68,156 777,29,0.0,0,592,Credit
AOUT,05-47-4C-EE,3,196.0,105.0,14214,48,0,0,0.0,12 311,24,Credit
AOUT,05-60-3C-3F,0,0.0,0.0,0,0,0,0,10.0,8045,0,Nouvelle Carte (Etudiants)
AOUT,05-74-14-28,4,739.0,150.0,102120,0,0,0,0.0,0,21,Credit
AOUT,05-99-A2-17,4,70.0,112.0,4009,88,0,2 963,33.0,0,0,Nouvelle Carte (Etudiants)
AOUT,05-B7-C1-18,0,0.0,56.0,12924,38,0,0,0.0,1 432,99,Credit
AOUT,05-C7-5E-47,0,175.0,126.0,57383,83,137 722,78,0.0,0,0,Credit
AOUT,05-DD-A8-56,0,0.0,4.0,200,0,0,0,4.0,683,0,Nouvelle Carte (Etudiants)
AOUT,05-F6-CD-A0,0,0.0,0.0,0,0,0,0,0.0,0,5 287,Nouvelle Carte (Etudiants)
AOUT,05-F6-E9-87,0,33.0,14.0,166,0,0,0,14.0,511,0,Nouvelle Carte (Etudiants)
AOUT,06-49-B7-E2,6,121.0,108.0,9113,46,0,0,0.0,735,483,Credit
AOUT,06-77-A6-1D,0,0.0,2.0,50,0,0,0,,30,0,Nouvelle Carte (Etudiants)
AOUT,06-7B-36-1C,5,754.0,306.0,63142,2,0,0,,38,0,Nouvelle Epargne écologique
AOUT,06-9B-5F-96,0,0.0,0.0,28405,25,0,0,0.0,0,0,Credit
AOUT,06-A6-B3-F2,0,28.0,252.0,10643,64,0,0,0.0,0,0,Nouvelle Epargne écologique
AOUT,06-C1-19-DE,0,0.0,0.0,0,0,0,0,,61,0,Nouvelle Carte (Etudiants)
AOUT,06-C2-81-8D,0,0.0,0.0,1565,0,0,0,0.0,3 437,22,Nouvelle Carte (Etudiants)
AOUT,06-CD-33-E3,3,82.0,67.0,15449,35,232 006,21,0.0,0,0,Credit
AOUT,06-CE-58-27,0,0.0,0.0,0,0,0,0,16.0,545,0,Nouvelle Carte (Etudiants)
AOUT,06-D7-ED-E0,0,0.0,3.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,06-F2-86-93,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,07-0C-A0-C7,0,0.0,15.0,7503,15,330 232,50,0.0,0,0,Credit
AOUT,07-17-02-A9,4,193.0,114.0,14438,46,0,0,0.0,0,0,Credit
AOUT,07-2F-79-07,10,214.0,288.0,42645,24,0,10 083,18.0,0,63,Nouvelle Epargne écologique
AOUT,07-35-D2-8E,0,0.0,0.0,17196,0,0,0,0.0,111,363,Credit
AOUT,07-59-35-28,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,07-5C-20-2B,5,327.0,192.0,29212,0,47 078,94,0.0,0,14 174,Credit
AOUT,07-66-E6-86,0,135.0,336.0,61057,20,17 413,31,0.0,0,7 448,Nouvelle Epargne écologique
AOUT,07-74-66-3F,0,0.0,2.0,0,0,0,0,,54,0,Nouvelle Carte (Etudiants)
AOUT,07-7E-22-ED,0,160.0,75.0,14697,54,250 915,34,0.0,0,0,Credit
AOUT,07-8E-8E-27,0,0.0,10.0,0,0,0,0,11.0,193,0,Nouvelle Carte (Etudiants)
AOUT,07-93-8E-61,0,187.0,50.0,3379,0,0,0,0.0,0,0,Credit
AOUT,07-AF-D6-67,0,0.0,54.0,360120,0,0,60 275,0.0,0,0,Credit
AOUT,07-B5-B3-A5,0,0.0,12.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,07-BB-A2-A1,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,07-C1-6A-C0,0,0.0,0.0,0,0,0,0,16.0,905,0,Nouvelle Carte (Etudiants)
AOUT,07-D7-5B-23,0,0.0,3.0,0,0,0,0,0.0,357,0,Nouvelle Carte (Etudiants)
AOUT,07-D8-86-3F,0,32.0,40.0,2455,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,07-E3-8D-71,0,8.0,12.0,0,0,35 275,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,07-FF-B8-BC,3,181.0,42.0,6401,10,0,0,0.0,1 050,0,Credit
AOUT,08-06-97-B6,3,169.0,261.0,371743,65,109 642,94,0.0,0,35 700,Nouvelle Epargne écologique
AOUT,08-25-A0-63,4,385.0,185.0,16188,80,35 199,74,0.0,0,27 796,Credit
AOUT,08-25-D5-1B,4,687.0,380.0,27127,90,0,0,0.0,11 180,76,Nouvelle Epargne écologique
AOUT,08-46-E3-38,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,08-5C-CA-2F,0,0.0,0.0,0,0,0,0,0.0,0,115,Nouvelle Carte (Etudiants)
AOUT,08-60-1A-93,4,279.0,104.0,9645,24,0,0,0.0,5 513,49,Credit
AOUT,08-6E-5B-F2,6,437.0,223.0,39584,14,0,0,0.0,47 197,50,Nouvelle Epargne écologique
AOUT,08-70-5E-5A,0,92.0,25.0,84165,0,0,43 275,0.0,0,0,Credit
AOUT,08-73-90-4D,3,0.0,21.0,560000,0,0,75 275,0.0,0,0,Credit
AOUT,08-77-78-FE,0,719.0,224.0,22958,32,171 489,78,0.0,0,11 290,Nouvelle Epargne écologique
AOUT,08-A0-E5-F8,4,505.0,186.0,29099,28,0,0,0.0,30,366,Credit
AOUT,08-AE-BB-F3,3,247.0,215.0,19216,30,0,0,0.0,682,5,Nouvelle Epargne écologique
AOUT,08-B3-45-76,5,132.0,145.0,17460,35,0,0,0.0,0,0,Credit
AOUT,08-C6-64-FC,0,126.0,91.0,7000,0,0,0,0.0,0,0,Credit
AOUT,08-CE-4E-8E,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,08-EB-00-0B,7,406.0,238.0,13348,23,0,0,0.0,4 317,21,Nouvelle Epargne écologique
AOUT,08-F4-C4-1B,0,0.0,0.0,0,0,0,0,0.0,0,25 824,Nouvelle Carte (Etudiants)
AOUT,08-FA-D6-C8,5,355.0,126.0,29755,68,0,0,0.0,0,0,Credit
AOUT,09-42-3C-BF,3,631.0,224.0,72979,44,0,0,0.0,44 914,54,Nouvelle Epargne écologique
AOUT,09-5F-D0-91,0,0.0,3.0,640,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,09-62-09-F4,0,0.0,16.0,4400,0,118 496,80,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,09-7F-4D-4A,0,0.0,6.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,09-86-15-23,0,0.0,70.0,15752,80,0,0,0.0,35 499,37,Credit
AOUT,09-89-4F-95,6,343.0,152.0,15546,56,0,8 719,24.0,0,115,Credit
AOUT,09-9E-2B-F4,5,212.0,165.0,33946,30,0,0,0.0,10 552,50,Credit
AOUT,09-AB-FC-13,0,0.0,21.0,0,0,14 775,63,0.0,11,88,Nouvelle Carte (Etudiants)
AOUT,09-EA-19-54,0,0.0,12.0,385,28,0,0,0.0,12,645,Nouvelle Carte (Etudiants)
AOUT,09-EE-39-66,5,277.0,135.0,17511,85,0,0,0.0,7 665,62,Credit
AOUT,09-FB-C7-68,0,0.0,12.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0A-01-D7-91,0,0.0,0.0,0,0,0,0,0.0,5355,0,Nouvelle Carte (Etudiants)
AOUT,0A-3B-EC-DE,0,0.0,4.0,200,0,0,0,0.0,0,22 277,Nouvelle Carte (Etudiants)
AOUT,0A-3E-D0-EC,0,0.0,189.0,6814,29,0,0,0.0,752,4405,Credit
AOUT,0A-48-C3-82,4,441.0,154.0,12316,8,0,1067,59.0,0,157,Credit
AOUT,0A-4B-B7-36,5,265.0,54.0,8484,0,0,0,0.0,0,0,Credit
AOUT,0A-4E-40-C6,0,0.0,90.0,0,0,0,0,11.0,739,0,Nouvelle Carte (Etudiants)
AOUT,0A-7C-B2-FC,3,553.0,78.0,27356,94,0,26 275,0.0,0,14,Credit
AOUT,0A-82-BD-4B,3,271.0,56.0,14960,0,0,4 034,31.0,0,0,Credit
AOUT,0A-89-99-2C,0,0.0,0.0,0,0,0,0,0.0,0,199,Nouvelle Carte (Etudiants)
AOUT,0A-8D-EB-36,15,329.0,245.0,17091,83,0,1 813,81.0,0,8 685,Nouvelle Epargne écologique
AOUT,0A-94-07-FC,0,25.0,66.0,3132,64,0,0,0.0,68 446,60,Nouvelle Carte (Etudiants)
AOUT,0A-97-C2-F7,0,237.0,85.0,9889,75,0,0,0.0,1 543,50,Credit
AOUT,0A-B5-5B-54,0,45.0,36.0,420,1,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0A-B8-E2-E4,7,39.0,100.0,100,0,0,0,,37,0,Nouvelle Carte (Etudiants)
AOUT,0A-BE-F5-B8,0,85.0,28.0,6630,66,0,0,0.0,37 365,93,Credit
AOUT,0A-CB-14-DE,5,655.0,184.0,16214,56,0,0,0.0,4 050,72,Credit
AOUT,0A-CC-61-20,0,0.0,0.0,0,0,0,0,1.0,911,0,Nouvelle Carte (Etudiants)
AOUT,0A-DB-FF-55,0,0.0,16.0,138,28,0,0,0.0,10,563,Nouvelle Carte (Etudiants)
AOUT,0B-0C-C7-2E,0,7.0,10.0,1330,50,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0B-12-E1-1E,0,0.0,25.0,106,5,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0B-47-59-84,0,0.0,3.0,450,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0B-64-CB-E6,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0B-85-DD-5A,6,197.0,180.0,22459,70,0,0,0.0,0,0,Credit
AOUT,0B-AC-D5-13,0,0.0,16.0,1531,20,0,0,0.0,21,0,Nouvelle Carte (Etudiants)
AOUT,0B-B6-DC-F1,0,0.0,5.0,250,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0B-B7-75-60,4,364.0,217.0,1192,81,0,0,0.0,31,6785,Nouvelle Epargne écologique
AOUT,0B-BE-F6-E7,0,14.0,6.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0B-CD-3E-46,12,367.0,260.0,20366,20,0,0,0.0,0,0,Nouvelle Epargne écologique
AOUT,0B-D5-3D-3E,0,49.0,144.0,7936,68,0,5 136,11.0,0,1 289,Credit
AOUT,0B-D6-9D-75,3,265.0,180.0,10826,88,0,0,0.0,1 550,63,Credit
AOUT,0B-FE-C3-3D,0,242.0,45.0,4832,10,0,0,0.0,0,0,Credit
AOUT,0C-05-CB-B3,0,0.0,24.0,3222,0,0,21 403,48.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0C-06-3F-46,7,581.0,203.0,11485,39,0,0,0.0,0,0,Nouvelle Epargne écologique
AOUT,0C-0B-8E-3B,0,297.0,185.0,25973,80,163 108,11,,74,228,Credit
AOUT,0C-0D-F7-1C,7,106.0,102.0,2904,36,0,0,0.0,0,294,Credit
AOUT,0C-1E-13-5F,3,157.0,170.0,24702,0,0,481,43.0,0,0,Credit
AOUT,0C-31-C3-E9,0,0.0,4.0,50,0,0,0,12.0,1905,0,Nouvelle Carte (Etudiants)
AOUT,0C-43-E4-43,0,0.0,0.0,0,0,0,0,,6,0,Nouvelle Carte (Etudiants)
AOUT,0C-44-B7-E3,0,98.0,70.0,21646,45,0,0,0.0,11 201,79,Credit
AOUT,0C-4E-32-73,0,0.0,21.0,900,190 157,45,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0C-5B-39-69,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0C-5C-62-4C,0,0.0,0.0,0,0,0,0,10.0,815,0,Nouvelle Carte (Etudiants)
AOUT,0C-5F-0A-DB,5,63.0,56.0,9335,4,0,0,0.0,0,0,Credit
AOUT,0C-66-A2-56,5,152.0,105.0,5970,15,0,0,0.0,210,0,Credit
AOUT,0C-6E-5F-7C,0,71.0,288.0,85309,92,0,0,0.0,0,0,Nouvelle Epargne écologique
AOUT,0C-90-95-39,0,0.0,8.0,0,0,0,0,11.0,145,0,Nouvelle Carte (Etudiants)
AOUT,0C-A8-CB-1F,7,463.0,176.0,27268,80,0,2 144,19.0,0,12,Credit
AOUT,0C-C3-01-E2,0,43.0,42.0,21272,34,0,0,0.0,0,0,Credit
AOUT,0C-C4-C3-52,0,0.0,15.0,1965,0,0,13 821,1.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0C-C7-5F-2D,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0C-CA-2D-9E,0,0.0,3.0,0,0,0,0,,18,0,Nouvelle Carte (Etudiants)
AOUT,0C-F5-2A-CE,3,378.0,119.0,14073,22,0,0,959.0,56,10 159,Credit
AOUT,0D-00-5A-7B,0,0.0,4.0,90,0,0,0,0.0,0,4 142,Nouvelle Carte (Etudiants)
AOUT,0D-16-1E-03,0,0.0,0.0,0,0,0,0,10.0,563,0,Nouvelle Carte (Etudiants)
AOUT,0D-18-B0-17,3,283.0,54.0,10156,14,0,0,0.0,1 785,0,Credit
AOUT,0D-45-41-21,3,252.0,238.0,15078,56,0,0,0.0,10 608,26,Nouvelle Epargne écologique
AOUT,0D-4A-C2-C3,18,337.0,192.0,11705,58,0,0,0.0,10,542,Credit
AOUT,0D-4F-D1-99,0,0.0,3.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0D-53-2B-B8,0,0.0,0.0,0,0,0,0,0.0,0,2 921,Nouvelle Carte (Etudiants)
AOUT,0D-56-DE-C8,7,187.0,103.0,6628,76,0,0,0.0,0,0,Credit
AOUT,0D-5A-ED-73,4,133.0,186.0,20895,18,0,0,0.0,12 316,91,Credit
AOUT,0D-6B-EC-92,0,67.0,101.0,8738,95,273 843,31,0.0,0,20 737,Credit
AOUT,0D-76-FA-3B,9,527.0,192.0,28070,24,0,0,0.0,517,587,Credit
AOUT,0D-91-85-71,0,0.0,10.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0D-95-7F-FF,0,0.0,32.0,380,24,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0D-9E-DC-B4,0,0.0,0.0,100000,0,0,0,0.0,0,0,Credit
AOUT,0D-C1-3F-C3,0,294.0,49.0,3437,0,0,30 275,0.0,0,0,Credit
AOUT,0D-CE-13-E7,0,471.0,219.0,51312,32,0,5 638,42.0,0,27 184,Nouvelle Epargne écologique
AOUT,0E-05-46-BB,0,103.0,4.0,0,0,0,0,0.0,0,0,Credit
AOUT,0E-11-1C-4E,3,157.0,70.0,6840,70,0,0,0.0,43 070,59,Credit
AOUT,0E-21-01-84,3,39.0,40.0,492,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-29-0F-04,0,0.0,0.0,2700,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-42-24-09,0,27.0,170.0,31250,0,134 152,61,,9,0,Credit
AOUT,0E-46-BA-24,3,127.0,35.0,13455,0,0,0,0.0,0,0,Credit
AOUT,0E-48-4B-93,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-49-93-2D,0,14.0,30.0,696,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-51-B9-54,3,87.0,348.0,27707,80,0,0,,0,0,Nouvelle Epargne écologique
AOUT,0E-56-EA-D8,3,232.0,106.0,12246,98,0,0,0.0,0,0,Credit
AOUT,0E-5D-C7-89,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-7E-46-58,0,0.0,36.0,1569,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-86-8C-C3,0,0.0,0.0,0,0,0,0,159.0,8205,0,Nouvelle Carte (Etudiants)
AOUT,0E-B2-C8-F8,0,55.0,4.0,1200,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-CF-EC-B2,3,224.0,112.0,15883,91,0,7 209,11.0,0,3 641,Credit
AOUT,0E-D0-4D-CE,14,653.0,192.0,18582,15,0,1 611,90.0,0,0,Credit
AOUT,0E-DA-84-04,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0E-ED-47-7E,3,6.0,52.0,7058,64,0,0,0.0,0,0,Credit
AOUT,0F-00-8B-B4,3,357.0,290.0,32944,0,0,1229,56.0,0,15 645,Nouvelle Epargne écologique
AOUT,0F-08-CD-72,4,412.0,40.0,9598,80,0,0,0.0,0,0,Credit
AOUT,0F-1F-0E-26,0,106.0,102.0,2904,36,0,9 277,26.0,0,0,Credit
AOUT,0F-20-4F-71,10,382.0,70.0,11019,55,0,0,0.0,0,0,Credit
AOUT,0F-24-2B-C7,0,0.0,0.0,0,0,0,0,467.0,7225,0,Nouvelle Carte (Etudiants)
AOUT,0F-3A-1A-6A,0,387.0,65.0,6914,65,0,0,0.0,25,1685,Credit
AOUT,0F-45-DF-42,3,255.0,144.0,6217,4,0,0,0.0,0,9135,Credit
AOUT,0F-55-92-D3,0,0.0,0.0,0,0,0,0,0.0,0,0,Nouvelle Carte (Etudiants)
AOUT,0F-56-D6-DD,9,657.0,280.0,18801,90,0,0,0.0,346,836,Nouvelle Epargne écologique
